x,y,group
-3.2586,-2.7445,1
-0.19041,-3.5389,1
2.1928,-3.8259,1
3.0599,-3.9683,1
0.72973,-3.7253,1
1.8788,-3.9717,1
-5.6642,-2.0777,1
2.0317,-3.7123,1
0.59346,-3.5449,1
1.0661,-3.7615,1
-4.418,-2.3075,1
2.3202,-4.0557,1
-1.3234,-3.0719,1
3.0291,-4.0788,1
-0.89729,-3.0918,1
-4.183,-2.3121,1
-1.934,-2.8871,1
1.5101,-3.5085,1
1.2171,-3.6683,1
-0.47257,-3.2782,1
0.39881,-3.4049,1
-5.1434,-2.168,1
-3.4036,-2.62,1
3.6027,-4.2827,1
-3.997,-2.3344,1
0.42619,-3.5379,1
1.5273,-3.7532,1
2.2175,-4.1643,1
-6.0473,-1.744,1
-3.0956,-2.7927,1
0.090093,-3.3384,1
-5.1505,-2.0837,1
-5.6434,-1.8481,1
3.0283,-4.0093,1
2.8524,-4.0986,1
-2.0996,-2.9723,1
2.3011,-3.8627,1
0.85899,-3.5547,1
-3.8336,-2.2536,1
2.9154,-4.0563,1
-1.6387,-3.0748,1
-3.6542,-2.3885,1
2.5474,-3.9264,1
1.3791,-3.7724,1
-5.9341,-1.9462,1
1.9738,-3.9019,1
-4.5108,-2.2931,1
-1.2359,-3.0422,1
-6.3945,-1.834,1
-2.8916,-2.7371,1
0.43698,-3.4205,1
-2.0958,-2.8082,1
-3.04,-2.5728,1
-6.2714,-1.7313,1
-2.2852,1.3695,2
-2.2156,1.2297,2
-5.9476,2.3591,2
-2.9677,1.4822,2
-4.3559,2.2242,2
-4.2599,1.8187,2
-4.6581,2.2239,2
-3.9369,1.715,2
-4.7874,2.1068,2
-2.2647,1.2003,2
-2.166,1.4932,2
-3.1069,1.3669,2
-5.11,2.1664,2
-2.5042,1.3995,2
-3.9741,1.797,2
-3.4315,1.7884,2
-5.7327,2.2593,2
-2.298,1.4471,2
-5.7257,2.3429,2
-5.7125,2.148,2
-4.8899,2.1803,2
-5.6273,2.4739,2
-5.7845,2.4105,2
-5.8764,2.2888,2
-2.6748,1.3245,2
-5.3884,2.163,2
-2.4521,1.1877,2
-5.6566,2.4686,2
-5.1469,2.2225,2
-3.8063,1.4663,2
-5.1045,2.2588,2
-5.0541,2.1102,2
-5.8649,2.3834,2
-4.3254,1.8926,2
-4.9862,2.1986,2
-4.1137,1.9478,2
-5.4174,2.1691,2
-1.9782,1.2222,2
-5.1476,2.2579,2
-3.8819,1.9529,2
-3.6343,1.7169,2
-2.8165,1.5748,2
-5.3728,2.3352,2
-5.1662,2.1278,2
-4.1854,1.8143,2
-2.518,1.4959,2
-4.1243,1.8717,2
-2.8643,1.3767,2
-3.0089,1.5219,2
-5.3928,2.4241,2
-3.7308,1.6511,2
-3.7809,1.6891,2
-3.4986,1.6346,2
-4.6974,3.7029,3
-3.5091,3.5317,3
-5.385,3.6441,3
0.25846,3.0078,3
-0.40892,3.1627,3
-4.6465,3.6183,3
-6.644,3.8296,3
2.4807,2.9427,3
-3.1859,3.5023,3
0.31127,3.202,3
2.7306,2.6245,3
-3.8643,3.3707,3
1.5869,3.0743,3
1.5589,2.9406,3
2.2266,2.8127,3
3.6089,2.9126,3
1.8314,2.8975,3
-3.9485,3.6939,3
-1.7091,3.309,3
-4.6213,3.5791,3
1.4661,2.9545,3
0.62746,3.1606,3
0.95874,3.0528,3
-4.7423,3.6405,3
-2.6018,3.473,3
3.8028,2.5548,3
-6.0383,3.6239,3
-3.0601,3.3955,3
-7.1439,3.9087,3
0.98042,2.9658,3
-1.8255,3.3691,3
1.7742,3.0482,3
-0.17106,3.3608,3
-6.8227,3.98,3
-2.7611,3.3763,3
3.925,2.6546,3
-2.752,3.4738,3
-6.9374,3.7042,3
-7.2076,4.0171,3
1.7282,2.806,3
2.289,2.6161,3
3.4283,2.614,3
-7.0476,4.0009,3
-6.8837,3.8205,3
-2.5779,3.5602,3
-3.9055,3.6096,3
-6.5638,3.7304,3
-6.0766,3.639,3
2.6011,2.7829,3
-0.68921,1.9477,4
0.62331,1.16,4
2.0278,0.55168,4
2.1569,0.53509,4
0.51241,1.6326,4
-0.90782,2.1061,4
2.4234,0.32527,4
-0.2487,1.8699,4
0.83926,1.1974,4
-0.12592,1.7097,4
-1.3151,2.3355,4
-1.6602,2.6634,4
-2.2923,2.5408,4
-0.63424,1.9687,4
-4.4154,3.9185,4
0.34171,1.4339,4
0.58131,1.3923,4
2.0718,0.60733,4
0.71331,1.4105,4
2.0706,0.43477,4
-0.72745,2.06,4
-3.8572,3.7451,4
-3.8543,3.4342,4
-3.416,3.572,4
0.56792,1.3163,4
-4.4995,4.067,4
-2.0654,2.7219,4
-4.4538,3.9009,4
-3.5946,3.6148,4
2.1212,0.63349,4
-2.183,2.7671,4
-2.3049,2.8778,4
-3.494,3.5014,4
1.4494,0.75763,4
-2.8821,3.3507,4
-2.8293,3.0579,4
-1.852,2.7658,4
4.9588,-3.6215,5
2.8357,-3.2058,5
4.6696,-3.3739,5
5.3748,-3.5225,5
6.6149,-3.8197,5
0.49646,-2.5392,5
5.693,-3.8058,5
-1.0938,-2.1302,5
7.9514,-4.1592,5
7.4379,-4.3399,5
-0.86754,-2.1258,5
-2.8307,-2.0894,5
3.2581,-3.2568,5
-1.7818,-2.265,5
-1.9017,-2.01,5
9.0731,-4.4732,5
0.66955,-2.7052,5
1.7342,-3.0373,5
-3.4938,-1.681,5
1.7196,-2.9609,5
-0.89635,-2.1786,5
